Status,Brand,CPU,RAM,Storage,GPU,Screen,Touch,Price
New,asus,i7,8,256,intel,14.0,No,918.0
New,samsung,i7,16,256,nvdia,15.0,No,2349.0
New,lenovo,i5,8,256,intel,13.9,Yes,1710.93
New,lenovo,i3,8,512,intel,15.6,No,576.66
Refurbished,asus,i7,32,1000,nvdia,17.3,No,1465.79
New,asus,i5,16,512,intel,15.6,No,729.78
Refurbished,lenovo,i7,8,256,intel,14.0,No,711.95
Refurbished,msi,i7,32,1000,nvdia,17.3,No,2899.0
New,asus,i7,8,512,intel,14.0,No,2004.11
New,dell,i7,8,1000,other,17.3,No,2189.2200000000003
New,msi,i7,32,1000,nvdia,17.3,No,2249.0
New,apple,M2,16,512,intel,16.2,No,2729.01
Refurbished,asus,i3,8,256,intel,14.0,No,499.0
New,msi,i7,16,1000,intel,13.3,No,1499.01
New,hp,i7,8,256,intel,14.0,No,1641.0
New,acer,other,4,32,intel,11.6,No,379.85
Refurbished,msi,i7,16,512,nvdia,14.0,No,1349.0
Refurbished,other,i7,16,512,nvdia,15.6,No,835.24
New,dell,i7,16,512,intel,15.6,No,1383.44
New,asus,i9,16,1000,intel,13.4,Yes,2420.65
New,asus,i7,8,256,nvdia,15.6,No,1269.0
New,asus,i7,8,256,nvdia,15.0,No,1000.0
Refurbished,apple,i5,16,1000,intel,13.3,No,1491.33
New,asus,i9,64,2000,nvdia,16.0,No,5758.14
Refurbished,asus,ryzen 7,16,1000,nvdia,15.6,No,2199.0
Refurbished,lenovo,i7,32,1000,nvdia,15.6,No,1799.0
New,acer,other,4,32,intel,11.6,No,379.85
Refurbished,asus,ryzen 7,16,1000,nvdia,15.6,No,757.53
New,lenovo,other,8,128,intel,13.3,Yes,599.0
Refurbished,msi,i9,16,1000,nvdia,15.6,No,1699.0
New,hp,i7,8,256,nvdia,15.6,No,2208.0
Refurbished,other,i7,16,1000,intel,13.4,Yes,1899.99
New,asus,other,16,256,amd,17.3,No,1657.43
Refurbished,msi,ryzen 5,8,512,intel,14.0,No,659.44
New,lenovo,other,8,1000,amd,15.6,No,459.03
Refurbished,asus,ryzen 7,16,1000,nvdia,15.6,No,1600.0
Refurbished,microsoft,i7,16,256,intel,12.3,No,1094.03
New,msi,i7,16,1000,nvdia,17.3,No,1927.84
New,asus,i7,16,512,intel,15.6,No,755.0
New,lenovo,i5,4,128,intel,13.3,No,942.67
New,asus,i5,8,512,intel,16.0,No,500.0
Refurbished,lenovo,i3,8,256,intel,15.6,No,874.6
New,samsung,other,4,16,intel,11.6,No,287.83000000000004
