Status,CPU,RAM,Storage,GPU,Screen,Price,apple,asus,dell,hp,lenovo,microsoft,msi,other,samsung,toshiba
0,3,2,3,2.0,15.6,1047.53,0,0,0,0,0,0,0,0,0,0
1,3,3,3,1.0,15.6,736.49,0,0,0,0,0,0,1,0,0,0
0,2,2,4,2.0,15.6,587.4300000000001,0,0,0,0,0,0,0,0,0,0
1,3,3,3,2.0,15.6,736.49,0,0,0,0,0,0,1,0,0,0
0,3,3,4,1.0,16.0,1899.0,0,0,0,0,0,0,0,0,0,0
0,2,3,3,1.0,14.0,1259.0,0,1,0,0,0,0,0,0,0,0
0,2,2,3,1.0,14.0,1782.0,0,0,0,0,1,0,0,0,0,0
0,3,3,4,1.0,14.0,2808.75,0,0,0,0,1,0,0,0,0,0
0,2,3,3,3.0,14.0,846.31,0,1,0,0,0,0,0,0,0,0
0,2,2,3,3.0,15.6,1464.8300000000002,0,0,1,0,0,0,0,0,0,0
0,3,2,4,2.0,15.6,641.893,0,0,1,0,0,0,0,0,0,0
0,3,3,3,1.0,17.3,1629.0,0,0,0,0,0,0,0,0,0,0
0,3,2,3,2.0,15.6,1813.0,0,0,0,1,0,0,0,0,0,0
0,3,3,5,2.0,16.0,2899.0,0,0,0,0,0,0,0,1,0,0
1,3,3,3,2.0,15.6,860.79,0,0,0,0,1,0,0,0,0,0
1,3,3,4,1.0,16.0,1749.0,0,0,0,0,0,0,1,0,0,0
0,2,2,3,2.0,14.0,844.0,0,0,0,0,1,0,0,0,0,0
1,3,3,4,2.0,17.3,958.04,0,0,0,0,0,0,1,0,0,0
1,3,3,4,1.0,15.6,2499.98,0,0,0,0,0,0,0,1,0,0
0,1,2,3,2.0,15.6,616.33,0,0,0,0,0,0,0,0,0,0
0,3,3,3,1.0,15.6,1199.0,0,1,0,0,0,0,0,0,0,0
1,2,2,3,1.0,14.0,1395.03,0,0,0,1,0,0,0,0,0,0
0,2,2,2,1.0,13.3,1175.93,1,0,0,0,0,0,0,0,0,0
0,2,2,3,2.0,15.6,854.9300000000001,0,0,0,0,0,0,0,1,0,0
1,3,3,4,0.0,17.3,1899.0,0,0,0,0,0,0,1,0,0,0
0,3,2,3,2.0,15.6,844.23,0,0,0,0,1,0,0,0,0,0
0,2,1,3,2.0,17.0,1023.0,0,0,0,0,0,0,0,0,0,0
1,3,3,3,1.0,15.6,766.09,0,1,0,0,0,0,0,0,0,0
1,4,2,3,1.0,13.6,1519.0,1,0,0,0,0,0,0,0,0,0
0,3,2,3,1.0,14.0,1891.0,0,0,0,0,1,0,0,0,0,0
0,3,2,3,0.0,12.5,1443.43,0,0,0,1,0,0,0,0,0,0
0,3,2,4,1.0,15.6,715.83,0,0,0,0,1,0,0,0,0,0
0,2,2,3,1.0,15.6,474.86,0,0,0,0,0,0,0,0,0,0
0,2,2,4,1.0,13.3,683.7407000000001,0,1,0,0,0,0,0,0,0,0
1,2,2,3,1.0,15.6,1125.75,0,0,1,0,0,0,0,0,0,0
1,2,2,3,3.0,15.6,444.19,0,0,0,0,0,0,1,0,0,0
0,2,1,2,1.0,15.6,615.25,0,1,0,0,0,0,0,0,0,0
1,2,2,3,3.0,13.3,1027.5,1,0,0,0,0,0,0,0,0,0
0,3,2,3,2.0,15.6,833.3909000000001,0,0,1,0,0,0,0,0,0,0
1,5,3,4,1.0,16.1,1242.39,0,0,0,1,0,0,0,0,0,0
0,1,2,4,1.0,15.6,491.13000000000005,0,0,1,0,0,0,0,0,0,0
1,1,2,3,3.0,14.0,585.29,0,0,0,0,1,0,0,0,0,0
0,2,1,3,1.0,15.6,426.93,0,0,0,0,1,0,0,0,0,0
0,3,2,3,1.0,15.6,1656.0,0,0,0,1,0,0,0,0,0,0
0,3,3,3,1.0,13.5,2022.7,0,0,0,0,0,1,0,0,0,0
0,2,2,3,1.0,15.6,849.0,0,0,0,0,0,0,0,0,1,0
0,2,1,1,1.0,15.6,266.32300000000004,0,0,0,0,0,0,0,1,0,0
1,2,2,3,1.0,14.0,1474.28,0,0,0,1,0,0,0,0,0,0
0,0,2,4,2.0,15.6,352.03000000000003,0,0,0,0,1,0,0,0,0,0
1,3,3,3,2.0,15.6,1150.04,0,0,0,0,1,0,0,0,0,0
0,2,2,3,2.0,15.6,834.11,0,0,0,0,1,0,0,0,0,0
1,5,4,4,1.0,15.6,4399.99,0,0,0,0,0,0,0,1,0,0
0,0,1,1,2.0,11.6,223.63,0,0,0,1,0,0,0,0,0,0
1,3,4,4,1.0,16.0,2599.0,0,1,0,0,0,0,0,0,0,0
1,1,2,3,1.0,14.0,499.0,0,1,0,0,0,0,0,0,0,0
